"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"大阪でのライブ前日に美味しいご飯食べに行ってみた！【イタリアン・たこ焼き】","UCfvohDfHt1v5N8l3BzPRsWQ",255503,9920,0,836,"2023-08-02T14:03:31Z","Entertainment"
"Prime Focus (1472) || ਮਾਨ ਨੇ CM ਬਣਕੇ ਕਈ ਕੁਝ ਬਦਲਿਆ","UCztSIZEGBfWfC3Mq63QXnsA",251338,8486,0,339,"2022-03-17T01:00:10Z","News & Politics"
"Will Indonesia&#39;s Largest Technology Company Survive?","UCokeVZg4VaSLVBDiziJsMDA",247199,3234,0,568,"2022-12-13T09:55:35Z","Education"
"Types of Minecraft Players during the Night","UC7fRN6v5Z0a1fwfbPFz49gQ",313206,46425,0,236,"2023-08-02T21:41:51Z","Gaming"
"LOKI: What&#39;s Next for KANG in Ant-Man and the Wasp: QUANTUMANIA | Marvel Teaser BREAKDOWN","UCgMJGv4cQl8-q71AyFeFmtg",244538,6453,0,549,"2021-07-26T17:04:13Z","Film & Animation"
"AMRABAT Transfer Plea! GREENWOOD Announcement! HOJLUND Announcement! Man Utd Transfer News","UCMmVPVb0BwSIOWVeDwlPocQ",236030,7400,0,480,"2023-08-02T09:50:29Z","Sports"
"Samsung Galaxy Z Flip 5 - Fully Changed !","UCXUJJNoP1QupwsYIWFXmsZg",243263,15382,0,676,"2023-08-02T15:26:30Z","Science & Technology"
"🚨INTER MIAMI vs ORLANDO CITY en VIVO 🏆 MESSI TITULAR en la LEAGUES CUP","UCiN40zpNQVWT9cUeahegtmA",229243,3169,0,0,"2023-08-03T04:07:33Z","Sports"
"Soñé con el futuro😱🤯😰😭","UC0gnpMXQFvO9YsRZ_2adXPA",227332,25606,0,1478,"2023-08-02T18:09:10Z","People & Blogs"
"Prime Focus (1473) || ਮਾਨ ਦਾ ਫਾਰਮੂਲਾ - ਕਿੰਨੇ ਕੁ ਕੱਢੂਗਾ ਵੱਟ","UCztSIZEGBfWfC3Mq63QXnsA",222564,7434,0,324,"2022-03-18T01:00:14Z","News & Politics"
"Here&#39;s Why Toyota&#39;s RAV4 2023 Will Shock Everyone","UCqFYonMui0nemny21XPhIgg",222000,1759,0,108,"2022-06-25T19:15:00Z","Autos & Vehicles"
"Riot Games just got HACKED","UC_kXrYB-00uPaJvpRVrMilg",220394,6305,0,597,"2023-01-20T22:10:53Z","Gaming"
"ENG SUB《壯志高飛 New Horizon》EP10 | 陳喬恩、 鄭愷 | 勵志愛情 | KUKAN Drama","UCVm75cj78njo38Izz_suQQA",219240,1207,0,82,"2021-06-03T12:30:03Z","Film & Animation"
"Black and White with Sudhir Chaudhary LIVE: Mewat Violence | Haryana Police | Nitin Desai Suicide","UCt4t-jeY85JegMlZ-E5UWtA",218825,3347,0,30,"2023-08-03T01:25:14Z","News & Politics"
"Prime Focus (1478) || ਮਾਨ ਦੇ ਨਿਸ਼ਾਨੇ &#39;ਤੇ ਨਸ਼ਾ, ਰੇਤ, ਰਿਸ਼ਵਤ","UCztSIZEGBfWfC3Mq63QXnsA",214341,7582,0,357,"2022-03-23T01:00:12Z","News & Politics"
"Start Music Season 4 | 6th August 2023 - Promo 1","UCvrhwpnp2DHYQ1CbXby9ypQ",217430,3556,0,37,"2023-08-02T15:20:54Z","Entertainment"
"Имиджевый ролик Exiteq 2021","UCOn4SDvji2dmKvuUgonFhUw",209886,15,0,4,"2021-12-09T12:43:03Z","Science & Technology"
"Choáng Ngợp Bộ Bàn Ghế Gỗ Khổng lồ Phạm Dũng tặng Nhà Phan Diễm ăn Hải sản Siêu Ngon tại Hải Dương","UCHxOYOnx9wocECuPqM54q-g",273662,5501,0,1268,"2023-08-02T23:00:02Z","People & Blogs"
