"Video Name","Channel ID","Views","Likes","Dislikes","Comments","Time of Uploading","Category"
"Sạt lở đèo Bảo Lộc: Truy thăng cấp bậc hàm cho 3 CSGT hy sinh","UCIW9cGgoRuGJnky3K3tbzNg",226936,690,0,1,"2023-07-31T11:16:16Z","News & Politics"
"Is D͏іаb͏Іо 4 dying? Path of Exile vs D͏іаb͏Іо 4","UCQeRaTukNYft1_6AZPACnog",228061,5493,0,1180,"2023-07-31T17:00:10Z","Gaming"
"4 Easy NAVRATRI VRAT Recipes for FASTING | CookWithNisha","UCxSI_ScvntwbqmDD7VkspUQ",217622,9655,0,457,"2021-10-04T08:30:11Z","Howto & Style"
"Clarkson&#39;s Farm Season 2 Release Date Updates And More","UCTZMLdkNPCjlpedOVqPUdZw",205349,1641,0,64,"2022-09-04T12:00:26Z","Entertainment"
"Draymond Green Jr Is Not Impressed With His Dad&#39;s Three Pointer!😂","UCTuLNC5RslLeRiIxedx3DJQ",205013,2940,0,133,"2021-12-25T23:47:40Z","Sports"
"JERICHO SIMS The Next Human Highlight Reel ?! | New York Knicks","UC5WxBo-PRRaMCFWPXOcFRxA",200383,565,0,91,"2021-10-17T09:31:24Z","Sports"
"Yogi Adityanath on Gyanwapi: योगी आदित्यनाथ ने ज्ञानवापी पर दिया ऐसा बयान, हुआ विवाद (BBC Hindi)","UCN7B-QD0Qgn2boVH5Q0pOWg",200593,0,0,1712,"2023-07-31T14:36:54Z","News & Politics"
"How we SHOWER off a $50 Million Island  🏝️😏💦  Ep 50","UC9xZhGz3zZl3gv0IRfYhMDQ",198825,2780,0,118,"2022-12-17T18:14:42Z","Travel & Events"
"Top 5 Survival Gear &amp; Tools You Must Have in 2022!","UCm4NMZNhZwi8tc3886te4pA",197002,3311,0,77,"2022-02-01T15:15:00Z","People & Blogs"
"21 Tough Riddles Broke My Brain, See How You&#39;ll Do","UC4rlAVgAK0SGk-yTfe48Qpw",191262,3224,0,366,"2021-06-30T04:00:02Z","Howto & Style"
"ألش رخيص | الخديوي عبفتاح","UCLEtezOEAiuSgBL3Nj-A-oA",190536,6988,0,338,"2022-12-25T16:00:00Z","Entertainment"
"Are There Snakes in Hawaii? Turns Out Yes But Special","UC4rlAVgAK0SGk-yTfe48Qpw",190512,0,0,239,"2020-03-04T17:00:16Z","Entertainment"
"细薯条 Shoestring Fries","UCCKlp1JI9Yg3-cUjKPdD3mw",189699,5783,0,334,"2021-11-17T19:18:52Z","Howto & Style"
"Nottingham Forest v Manchester United | Carabao Cup 22/23 | Match Highlights","UCsY7UM8d2sGHhWP_nj7WYjQ",189019,1537,0,126,"2023-01-25T21:58:38Z","Sports"
"&#39;Strip their titles&#39; Bad news for Prince Harry and Meghan Markle | Sunrise","UCMRq9ADyETX-Touo4Srph5g",185826,3504,0,2231,"2022-09-12T21:08:10Z","News & Politics"
"NBA 2K22 My Player Career - Part 6 - Pickup Game with D Wade","UC36MGPfPwOWafAXauiV4LdA",184639,4703,0,243,"2021-09-19T22:00:15Z","Gaming"
"Motorola Edge 30 Ultra Unboxing and First Impressions","UC-8NKfvYQoZLYcwdU_gr4Cg",151970,1769,0,109,"2022-09-08T19:17:23Z","Science & Technology"
"At Easter (Official Trailer) - Hillsong Worship","UC4q12NoPNySbVqwpw4iO5Vg",145819,2488,0,107,"2021-03-06T03:27:21Z","Music"
"College girl hooks up with a MILF | Leighton &amp; Chloe","UCTm3o6xDf2JJ7SBgNr6mWDg",144064,2215,0,126,"2021-11-20T09:02:10Z","Entertainment"
"වෙනස් වූ ජාතික ගීය...අමාත්‍යාංශයෙන් හදිසි තීරණයක්...","UCCK3OZi788Ok44K97WAhLKQ",133063,1128,0,475,"2023-07-31T14:35:25Z","News & Politics"
"FIFA23 W杯日本代表涙、涙々そして涙、さらに涙々、なおいっそう涙の優勝放送","UCx1nAvtVDIsaGmCMSe8ofsQ",128027,1356,0,0,"2023-08-01T09:59:02Z","Gaming"
"Nuh violence: मेवात में &#39;महासंग्राम&#39;, किसका प्लान? दंगा भड़काया, नूह को किसने जलाया? Haryana Updates","UCIvaYmXn910QMdemBG3v1pQ",122804,899,0,47,"2023-08-01T08:37:55Z","News & Politics"
"Australia Maritime Strategy","UCuTgY7OQxyvQ3XSMzs9wPmA",117024,4479,0,682,"2021-11-30T11:48:03Z","Education"
"Swapping VAN LIFE for ISLAND LIFE | Living on a Remote Island with a Baby","UC3CxEBKx2l38nl1_SFsC2gg",114653,5240,0,361,"2021-09-16T06:38:59Z","Travel & Events"
"என்னங்க சொல்றீங்க 🙄 | Modhalum Kaadhalum | Episode Preview","UCvrhwpnp2DHYQ1CbXby9ypQ",122168,1611,0,9,"2023-07-31T14:48:08Z","Entertainment"
"Daily Horoscope | Rasi Palan | நல்ல காலம் பிறக்குது | ராசிபலன் | 01.08.2023","UCYlh4lH762HvHt6mmiecyWQ",118580,3364,0,94,"2023-08-01T02:23:28Z","News & Politics"
"PM Modi in Pune : पंतप्रधान नरेंद्र मोदी पुण्यात दाखल होताच जोरदार विरोध","UCH7nv1A9xIrAifZJNvt7cgA",150124,1709,0,554,"2023-08-01T06:05:32Z","News & Politics"
"Jordan Peele&#39;s NOPE Is... (REVIEW)","UCkFbAywlXz4W0BCle2eFyUw",109284,5896,0,574,"2022-07-20T17:11:43Z","Entertainment"
"Curfew Imposed In Nuh After Riots, VHP Rally In Minority Dominated Area","UCYPvAwZP8pZhSMW8qs7cVCw",111662,449,0,320,"2023-08-01T04:43:11Z","News & Politics"
"Live Dance - देवघर चलऽ मलकिनिया | #Arvind Akela Kallu | New Bolbam Song 2023 | काँवर गीत","UCedMGe38jDnHvi-4SmlqQHg",106539,3180,0,48,"2023-08-01T00:30:08Z","Music"
"Russia Ukraine War LIVE: Putin के कब्बे में NATO के हथियार |Zelenskyy |Jens Stoltenberg |World War-3","UCOutOIcn_oho8pyVN3Ng-Pg",100542,899,0,0,"2023-08-01T00:40:33Z","News & Politics"
"Haryana के Nuh में शोभायात्रा के दौरान बवाल | Hindi News","UCMk9Tdc-d1BIcAFaSppiVkw",100459,1033,0,334,"2023-07-31T14:37:55Z","News & Politics"
"Mini vlog! Event &amp; trying out the viral Too Faced lip gloss 👀 #shorts","UC1OytqraeMWm-9Vs4F6V2ow",93257,2524,0,16,"2021-08-31T16:00:15Z","Howto & Style"
"Jenseits der Körpergröße: Federico entdeckt seine Stärken I 37 Grad","UC5jjaOwaYKbVzbJRQ9QjWTA",84004,839,0,234,"2023-07-31T15:00:15Z","People & Blogs"
"Padutha Theeyaga | Series 22 | 24th July 2023 | Full Episode | SP.Charan, Sunitha | ETV Telugu","UCSs9H1cyB3OHdy8wkit8ZKg",86454,1044,0,95,"2023-07-31T17:45:00Z","Entertainment"
"Enishi&#39;s poker face is next level.","UCT2X19JJaJGUN7mrYuImANQ",81305,3721,0,34,"2023-07-31T18:00:18Z","Entertainment"
"দুপুর ২টার বাংলাভিশন সংবাদ | Bangla News | 01 August 2023 | 2:00 PM | Banglavision News","UCA4y9g_GRdNrZLH_u5LLSdw",95366,1831,0,117,"2023-08-01T08:52:15Z","News & Politics"
"Maxxine Dupri vs Valhalla - WWE RAW 7/31/2023","UCQWMcsQb99i1pJ9YnBC1DxQ",81135,1668,0,107,"2023-08-01T00:57:54Z","Sports"
"Prince Harry causes controversy in speech to the UN | Sunrise","UCMRq9ADyETX-Touo4Srph5g",72116,1424,0,969,"2022-07-19T02:24:07Z","News & Politics"
